evento_id,evento,data_inicial,data_final,id_chamado
6,Carnaval,2024-02-10,2024-02-14,19888985
6,Carnaval,2024-02-10,2024-02-14,19889043
6,Carnaval,2024-02-10,2024-02-14,19889197
6,Carnaval,2024-02-10,2024-02-14,19889231
6,Carnaval,2024-02-10,2024-02-14,19889277
6,Carnaval,2024-02-10,2024-02-14,19889504
6,Carnaval,2024-02-10,2024-02-14,19889596
6,Carnaval,2024-02-10,2024-02-14,19889607
6,Carnaval,2024-02-10,2024-02-14,19889630
6,Carnaval,2024-02-10,2024-02-14,19889642
6,Carnaval,2024-02-10,2024-02-14,19889651
6,Carnaval,2024-02-10,2024-02-14,19889669
6,Carnaval,2024-02-10,2024-02-14,19889724
6,Carnaval,2024-02-10,2024-02-14,19889750
6,Carnaval,2024-02-10,2024-02-14,19889853
6,Carnaval,2024-02-10,2024-02-14,19889863
6,Carnaval,2024-02-10,2024-02-14,19889936
6,Carnaval,2024-02-10,2024-02-14,19889938
6,Carnaval,2024-02-10,2024-02-14,19889939
6,Carnaval,2024-02-10,2024-02-14,19889947
6,Carnaval,2024-02-10,2024-02-14,19889993
6,Carnaval,2024-02-10,2024-02-14,19890005
6,Carnaval,2024-02-10,2024-02-14,19890006
6,Carnaval,2024-02-10,2024-02-14,19890037
6,Carnaval,2024-02-10,2024-02-14,19890070
6,Carnaval,2024-02-10,2024-02-14,19890080
6,Carnaval,2024-02-10,2024-02-14,19890083
6,Carnaval,2024-02-10,2024-02-14,19890292
6,Carnaval,2024-02-10,2024-02-14,19890298
6,Carnaval,2024-02-10,2024-02-14,19890493
6,Carnaval,2024-02-10,2024-02-14,19890711
6,Carnaval,2024-02-10,2024-02-14,19890879
6,Carnaval,2024-02-10,2024-02-14,19891050
6,Carnaval,2024-02-10,2024-02-14,19891395
6,Carnaval,2024-02-10,2024-02-14,19891606
6,Carnaval,2024-02-10,2024-02-14,19891694
6,Carnaval,2024-02-10,2024-02-14,19891773
6,Carnaval,2024-02-10,2024-02-14,19891783
6,Carnaval,2024-02-10,2024-02-14,19891794
6,Carnaval,2024-02-10,2024-02-14,19891804
6,Carnaval,2024-02-10,2024-02-14,19891806
6,Carnaval,2024-02-10,2024-02-14,19891808
6,Carnaval,2024-02-10,2024-02-14,19891815
6,Carnaval,2024-02-10,2024-02-14,19891838
6,Carnaval,2024-02-10,2024-02-14,19891843
6,Carnaval,2024-02-10,2024-02-14,19891868
6,Carnaval,2024-02-10,2024-02-14,19891964
6,Carnaval,2024-02-10,2024-02-14,19891970
6,Carnaval,2024-02-10,2024-02-14,19891979
6,Carnaval,2024-02-10,2024-02-14,19891982
6,Carnaval,2024-02-10,2024-02-14,19891986
6,Carnaval,2024-02-10,2024-02-14,19892026
6,Carnaval,2024-02-10,2024-02-14,19892524
6,Carnaval,2024-02-10,2024-02-14,19892619
6,Carnaval,2024-02-10,2024-02-14,19893185
6,Carnaval,2024-02-10,2024-02-14,19893893
6,Carnaval,2024-02-10,2024-02-14,19894354
